Name,First Name,Last Name,Number,City,Error,Timestamp
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:22:21.084Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:22:21.084Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:22:21.085Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:22:21.085Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:22:21.085Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:22:21.085Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:22:21.085Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:22:21.085Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:22:21.085Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-18T06:22:21.085Z
