Name,First Name,Last Name,Number,City,Error,Timestamp
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-25T07:10:04.495Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-25T07:10:04.495Z
,,,,Vadodara,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-25T07:10:04.495Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-25T07:10:04.495Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-25T07:10:04.495Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-25T07:10:04.496Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-25T07:10:04.496Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-25T07:10:04.496Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-25T07:10:04.496Z
,,,,Ahmedabad,Protocol error (Runtime.callFunctionOn): Session closed. Most likely the page has been closed.,2025-04-25T07:10:04.496Z
